gene_ID,control_12,control_26,control_11,control_14,control_6,GBM_27,GBM_29,GBM_3,GBM_8,GBM_9,metastasis_21,metastasis_22,metastasis_23,metastasis_28,metastasis_30,control_15,metastasis_16
ENSG00000173805,31,9,26,12,19,716,136,483,177,60,0,0,1,26,29,0,0
ENSG00000201920,1,39,25,165,1,51,26,0,1,85,3,26,4,3,0,345,203
ENSG00000173801,173,298,611,535,855,1817,57,4206,392,1236,2,172,134,647,1154,1305,755
ENSG00000141696,40,47,167,122,81,362,22,805,105,220,0,14,27,120,236,258,72
ENSG00000141756,136,277,577,236,695,1748,142,3752,425,1182,5,88,104,529,966,559,331
ENSG00000141698,121,221,432,317,417,246,29,636,245,426,0,2,20,145,265,656,212
ENSG00000161594,2,1,0,7,0,5,1,0,2,0,0,0,9,0,4,0,15
ENSG00000178502,113,190,394,308,446,75,2,370,160,134,0,17,1,20,101,560,54
ENSG00000131473,1130,1472,2549,3168,2469,1612,128,4712,4184,5431,52,177,190,2001,1132,2840,4922
ENSG00000204815,15,21,57,14,86,123,51,110,33,34,0,5,4,44,49,101,30
ENSG00000173786,540,743,1349,1258,1879,1124,156,1556,2110,1446,1,39,53,500,449,1263,1016
ENSG00000168259,868,1034,1666,2374,2007,1123,111,2892,2314,2239,36,117,135,665,960,1907,2386
ENSG00000168256,233,440,753,702,816,520,49,1164,954,1026,1,21,68,254,333,568,1637
ENSG00000187595,5,35,25,41,41,12,0,16,41,18,0,0,3,8,17,9,19
ENSG00000267221,3,34,40,35,72,16,2,24,35,26,0,0,2,19,8,25,5
ENSG00000108771,97,244,445,395,398,164,68,274,431,319,0,4,41,129,135,483,199
ENSG00000108773,296,251,522,951,168,1538,631,1506,375,250,2,226,60,1095,974,1314,256
ENSG00000267261,1300,1983,2192,2924,2857,632,73,3401,5533,6446,1,91,119,315,461,3071,9511
ENSG00000260325,0,2,3,3,3,0,1,3,0,0,0,13,0,0,1,33,0
ENSG00000108774,1389,2137,2436,3161,3277,581,75,3716,6318,7258,1,77,131,305,459,3416,10876
ENSG00000089558,10,14,3,14,1,33,7,34,10,0,0,4,4,11,16,0,14
ENSG00000161610,0,0,0,1,0,1,0,4,6,0,0,0,0,2,0,0,0
ENSG00000167925,123,343,659,605,678,312,53,587,865,973,0,18,17,82,224,831,705
ENSG00000173757,674,1245,2554,2406,2657,1054,80,1751,1577,1590,1,105,64,561,1028,4338,6589
ENSG00000280295,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000126561,683,604,1112,1959,1093,238,49,882,2224,2049,0,104,22,304,262,1623,3060
ENSG00000168610,4102,3874,7438,10551,6975,3643,441,7243,8009,8665,19,421,367,2375,3055,12400,29595
ENSG00000177469,4248,7416,14311,3973,10670,5018,545,8236,1775,3530,50,643,526,2884,5520,15329,2137
ENSG00000033627,594,1027,1814,2665,1875,1066,150,2597,2514,1560,5,79,50,490,708,2094,2044
ENSG00000108784,163,183,266,397,299,152,39,530,653,611,0,20,30,108,106,395,740
ENSG00000108786,4,3,11,14,20,18,7,38,5,13,0,0,2,3,14,1,4
ENSG00000068120,255,309,534,642,397,289,36,593,493,667,0,1,45,237,269,1019,723
ENSG00000108788,391,507,901,1066,824,272,35,1286,1505,1653,1,61,33,131,271,1085,2712
ENSG00000131470,45,125,86,72,144,175,21,290,57,53,0,9,6,32,106,147,100
ENSG00000141699,248,478,948,717,1322,355,53,1174,941,1079,5,44,14,155,317,718,641
ENSG00000280183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000131462,330,205,391,374,384,241,34,648,273,464,2,17,44,105,175,483,238
ENSG00000037042,203,198,354,260,356,411,99,410,166,115,0,37,17,328,263,381,89
ENSG00000068137,84,148,226,137,206,526,106,334,100,149,0,13,29,187,387,255,54
ENSG00000184451,0,1,7,2,22,14,9,21,4,7,0,0,1,2,3,0,0
ENSG00000108797,65,23,87,65,98,518,133,323,131,89,0,4,26,50,77,91,17
ENSG00000108799,267,886,1295,1038,1699,904,84,994,708,594,1,133,66,498,687,1696,625
ENSG00000131477,592,3002,4071,879,3261,493,12,2007,226,966,0,75,89,287,1154,2406,404
ENSG00000131475,59,93,265,217,225,128,5,408,272,351,1,22,6,66,94,173,293
ENSG00000126562,2,0,19,6,0,33,0,35,1,15,0,0,14,109,8,44,124
ENSG00000183978,37,164,175,165,182,73,26,220,212,243,0,6,11,46,37,156,164
ENSG00000176563,13,9,1,6,12,1,1,3,4,0,2,6,0,0,8,66,14
ENSG00000126581,835,1071,1658,1601,1862,734,64,2215,2721,2759,1,103,125,499,738,1657,3058
ENSG00000131467,630,758,1291,1596,1496,430,75,1964,2397,2043,1,38,65,267,391,1504,3301
ENSG00000131480,24,2,11,22,18,36,6,39,11,3,0,0,9,34,33,34,29
ENSG00000131471,105,135,350,131,92,23,1,60,3,79,0,15,12,32,18,191,39
ENSG00000131482,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
ENSG00000108825,179,278,378,479,311,250,52,638,405,408,1,39,13,171,228,566,337
ENSG00000266967,179,273,390,499,325,269,54,660,400,403,1,39,14,176,245,579,334
ENSG00000267060,2,10,10,5,0,6,0,25,8,8,0,0,0,0,11,0,3
ENSG00000198863,266,456,496,618,696,559,117,728,437,523,0,30,46,184,404,1066,312
ENSG00000131469,3625,7333,8113,9802,10620,995,209,7106,13220,14318,6,247,304,1220,1389,8713,18742
ENSG00000068079,217,583,708,474,835,184,57,366,746,601,0,23,32,144,149,798,475
ENSG00000108828,861,1329,4026,2094,3345,1240,117,3720,2325,2781,4,95,95,659,1208,3682,4852
ENSG00000108830,11,20,115,24,79,221,38,165,218,123,0,0,10,7,56,27,4
ENSG00000012048,15,175,196,217,234,254,10,999,363,386,1,2,23,41,140,680,512
ENSG00000188554,996,3107,4140,3715,5200,1199,91,4112,4497,5155,4,136,91,622,1119,4548,6054
ENSG00000184988,321,551,934,1752,743,171,36,750,1723,1381,0,13,10,136,113,1448,648
ENSG00000236383,2,0,8,3,9,4,0,2,7,3,0,0,0,1,0,2,0
ENSG00000279602,26,2144,578,129,1455,198,28,694,2003,2866,0,37,21,156,248,141,1247
ENSG00000175906,11,33,110,96,96,18,0,42,25,72,30,0,1,13,27,314,60
ENSG00000067596,648,961,1689,1655,1772,768,111,1868,1835,1936,1,40,104,355,636,1291,1795
ENSG00000175832,4,4,22,13,18,169,52,204,53,46,2,7,9,16,105,7,121
ENSG00000005102,0,0,18,0,0,4,0,0,0,12,0,41,0,0,1,80,0
ENSG00000167941,0,0,0,1,0,4,1,5,0,0,0,0,1,0,3,0,0
